objectid,incident_num,incident_date,district,ballistics_evidence,hour_of_day,day_of_week,year,quarter,month,neighborhood
4709,202040446,2020-06-10,B3,1,16,4,2020,2,6,Mattapan
7856,I152068863,2015-08-20,B2,0,3,5,2015,3,8,Mission Hill
7857,I152068794,2015-08-20,E13,1,20,4,2015,3,8,Jamaica Plain
7858,I152068861,2015-08-20,B3,0,0,5,2015,3,8,Dorchester
7859,I152068733,2015-08-19,B2,0,17,4,2015,3,8,Roxbury
7860,I152069162,2015-08-21,B2,1,12,6,2015,3,8,Roxbury
7861,I152069158,2015-08-21,D14,0,23,5,2015,3,8,Brighton
7862,I152069137,2015-08-21,B2,0,20,5,2015,3,8,Dorchester
7863,I152068925,2015-08-20,E13,0,10,5,2015,3,8,Jamaica Plain
7864,I152069775,2015-08-23,B3,0,1,1,2015,3,8,Dorchester
7865,I152069776,2015-08-24,D4,0,0,2,2015,3,8,South End
7866,I152069808,2015-08-23,B2,0,1,1,2015,3,8,Roxbury
7867,I152069782,2015-08-23,C11,1,1,1,2015,3,8,Dorchester
7868,I152069518,2015-08-22,B3,1,3,7,2015,3,8,Dorchester
7869,I152069499,2015-08-22,E13,0,1,7,2015,3,8,Jamaica Plain
7870,I152070017,2015-08-24,B3,1,23,1,2015,3,8,Dorchester
7871,I152070124,2015-08-24,E13,0,13,2,2015,3,8,Mission Hill
7872,I152070304,2015-08-25,B3,1,23,2,2015,3,8,Dorchester
7873,I152070045,2015-08-24,E13,0,23,1,2015,3,8,Jamaica Plain
7874,I152070554,2015-08-25,B3,1,17,3,2015,3,8,Mattapan
7875,I152069847,2015-08-25,A15,0,10,3,2015,3,8,Charlestown
7876,I152070956,2015-08-27,B2,0,23,4,2015,3,8,Roxbury
7877,I152070717,2015-08-24,D4,0,15,2,2015,3,8,Fenway
7878,I152071281,2015-08-28,B3,0,2,6,2015,3,8,Dorchester
7879,I152066291,2015-08-11,D4,0,0,3,2015,3,8,Fenway
7880,I152072158,2015-08-31,B3,1,1,2,2015,3,8,Dorchester
7881,I152072157,2015-08-31,B3,1,1,2,2015,3,8,Dorchester
7882,I152071889,2015-08-30,C11,0,3,1,2015,3,8,Dorchester
7883,I152071890,2015-08-30,B3,0,2,1,2015,3,8,Mattapan
7884,I152071633,2015-08-29,B3,1,7,7,2015,3,8,Dorchester
7885,I152071602,2015-08-29,B3,1,3,7,2015,3,8,Dorchester
7886,I152071626,2015-08-29,B3,0,3,7,2015,3,8,Dorchester
7887,I152071617,2015-08-29,C11,0,5,7,2015,3,8,Dorchester
7888,I152071567,2015-08-29,B3,0,0,7,2015,3,8,Dorchester
7889,I152071600,2015-08-31,D14,0,3,2,2015,3,8,Brighton
7890,I152071601,2015-08-29,A1,0,2,7,2015,3,8,Bay Village
7891,I152071586,2015-08-29,B2,0,1,7,2015,3,8,Dorchester
7892,I152072489,2015-09-01,A15,0,0,3,2015,3,9,Charlestown
7893,I152072403,2015-08-31,B3,0,18,2,2015,3,8,Mattapan
7894,I152072098,2015-08-31,B2,1,20,1,2015,3,8,Dorchester
7895,I152072471,2015-09-01,B2,0,22,2,2015,3,8,Roxbury
7896,I152073129,2015-09-03,B2,0,3,5,2015,3,9,Dorchester
7897,I152073095,2015-09-03,E13,1,23,4,2015,3,9,Jamaica Plain
7898,I152073048,2015-09-03,C11,1,22,4,2015,3,9,Dorchester
7899,I152073391,2015-09-04,B2,1,22,5,2015,3,9,Dorchester
7900,I152073244,2015-09-03,B2,1,14,5,2015,3,9,Dorchester
7901,I152073669,2015-09-05,C6,0,20,6,2015,3,9,South Boston
7902,I152073950,2015-09-06,E13,0,2,1,2015,3,9,Jamaica Plain
7903,I152073972,2015-09-06,B2,0,2,1,2015,3,9,Roxbury
7904,I152073929,2015-09-06,B3,1,23,7,2015,3,9,Dorchester
7905,I152073983,2015-09-06,E13,0,4,1,2015,3,9,Jamaica Plain
7906,I152074132,2015-09-06,B3,0,19,1,2015,3,9,Mattapan
7907,I152074220,2015-09-07,B2,0,3,2,2015,3,9,Roxbury
7908,I152074234,2015-09-07,B2,1,5,2,2015,3,9,Dorchester
7909,I152074423,2015-09-08,B3,0,21,2,2015,3,9,Dorchester
7910,I152073927,2015-09-06,A15,0,23,7,2015,3,9,Charlestown
7911,I152073662,2015-09-04,B3,0,19,6,2015,3,9,Mattapan
7912,I152074777,2015-09-09,D4,1,0,4,2015,3,9,South End
7913,I152074765,2015-09-09,C11,1,23,3,2015,3,9,Dorchester
7914,I152075095,2015-09-10,E13,0,2,5,2015,3,9,Jamaica Plain
7915,I152075082,2015-09-10,B2,0,23,4,2015,3,9,Dorchester
7916,I152073181,2015-09-02,A15,0,10,4,2015,3,9,Charlestown
7917,I152075105,2015-09-10,E13,0,4,5,2015,3,9,Jamaica Plain
7918,I152075103,2015-09-10,B2,0,3,5,2015,3,9,Roxbury
7919,I152075660,2015-09-12,E18,1,23,6,2015,3,9,Hyde Park
7920,I152076280,2015-09-14,B2,0,6,2,2015,3,9,Dorchester
7921,I152075717,2015-09-12,E13,0,4,7,2015,3,9,Jamaica Plain
7922,I152075615,2015-09-11,B3,0,19,6,2015,3,9,Dorchester
7923,I152076250,2015-09-14,E18,0,23,1,2015,3,9,Mattapan
7924,I152076240,2015-09-14,B2,0,22,1,2015,3,9,Roxbury
7925,I152076037,2015-09-13,C6,0,6,1,2015,3,9,South Boston
7926,I152075909,2015-09-12,B2,0,19,7,2015,3,9,Roxbury
7927,I152073441,2015-09-12,B2,0,4,7,2015,3,9,Roxbury
7928,I152075524,2015-09-06,D14,0,2,1,2015,3,9,Allston
7929,I152076408,2015-09-14,C6,1,14,2,2015,3,9,South Boston
7930,I152076440,2015-09-14,B2,1,15,2,2015,3,9,Roxbury
7931,I152076660,2015-09-15,B2,1,10,3,2015,3,9,Dorchester
7932,I152076931,2015-09-16,B3,1,7,4,2015,3,9,Dorchester
7933,I152073976,2015-09-06,B3,0,2,1,2015,3,9,Dorchester
7934,I152077515,2015-09-18,B3,1,0,6,2015,3,9,Mattapan
7935,I152077489,2015-09-18,B2,1,22,5,2015,3,9,Roxbury
7936,I152077495,2015-09-18,B2,0,22,5,2015,3,9,Roxbury
7937,I152077242,2015-09-17,C11,0,6,5,2015,3,9,Dorchester
7938,I152078473,2015-09-21,B3,1,1,2,2015,3,9,Dorchester
7939,I152078421,2015-09-20,C11,1,19,1,2015,3,9,Dorchester
7940,I152078346,2015-09-20,B3,1,15,1,2015,3,9,Dorchester
7941,I152078249,2015-09-20,E5,0,8,1,2015,3,9,Roslindale
7942,I152078240,2015-09-20,A1,1,6,1,2015,3,9,Downtown
7943,I152078213,2015-09-20,B2,0,2,1,2015,3,9,Roxbury
7944,I152078140,2015-09-20,A7,0,21,7,2015,3,9,East Boston
7945,I152078095,2015-09-19,E13,0,18,7,2015,3,9,Jamaica Plain
7946,I152077878,2015-09-19,E18,0,4,7,2015,3,9,Roslindale
7947,I152077779,2015-09-18,E13,1,7,6,2015,3,9,Jamaica Plain
7948,I152077556,2015-09-18,B3,1,22,5,2015,3,9,Dorchester
7949,I152078611,2015-09-21,E18,1,13,2,2015,3,9,Hyde Park
7950,I152078758,2015-09-22,B2,1,21,2,2015,3,9,Roxbury
7951,I152078779,2015-09-22,E13,0,22,2,2015,3,9,Roxbury
7952,I152079115,2015-09-23,E13,1,23,3,2015,3,9,Jamaica Plain
7953,I152079086,2015-09-23,B2,1,21,3,2015,3,9,Roxbury
7954,I152079029,2015-09-22,C11,1,18,3,2015,3,9,Dorchester
7955,I152079381,2015-09-24,B3,0,21,4,2015,3,9,Dorchester
7956,I152079554,2015-09-24,B2,1,13,5,2015,3,9,Roxbury
7957,I152079700,2015-09-25,D4,1,20,5,2015,3,9,Roxbury
7958,I152079786,2015-09-25,E18,1,7,6,2015,3,9,Hyde Park
7959,I152080103,2015-09-26,B3,1,1,7,2015,3,9,Mattapan
7960,I152080145,2015-09-26,B2,0,6,7,2015,3,9,Dorchester
7961,I152080107,2015-09-26,C11,1,1,7,2015,3,9,Dorchester
7962,I152080071,2015-09-27,E13,0,22,7,2015,3,9,Jamaica Plain
7963,I152080066,2015-09-26,C6,1,21,6,2015,3,9,South Boston
7964,I152080661,2015-09-28,B2,0,23,1,2015,3,9,Mission Hill
7965,I152080680,2015-09-28,D14,1,23,1,2015,3,9,Allston
7966,I152080947,2015-09-29,B2,0,1,3,2015,3,9,Dorchester
7967,I152080935,2015-09-29,E13,1,23,2,2015,3,9,Jamaica Plain
7968,I152080950,2015-09-29,B3,1,1,3,2015,3,9,Dorchester
7969,I152081199,2015-09-30,B2,0,20,3,2015,3,9,Roxbury
7970,I152081227,2015-09-30,B2,0,21,3,2015,3,9,Mission Hill
7971,I152081512,2015-10-01,B3,1,0,5,2015,4,10,Dorchester
7972,I152081154,2015-09-29,B2,1,17,3,2015,3,9,Roxbury
7973,I152081795,2015-10-02,B2,0,0,6,2015,4,10,Mission Hill
7974,I152081799,2015-10-02,B3,1,2,6,2015,4,10,Dorchester
7975,I152081748,2015-10-02,C11,1,20,5,2015,4,10,Mattapan
7976,I152082612,2015-10-05,B3,1,1,2,2015,4,10,Dorchester
7977,I152082590,2015-10-05,B2,0,22,1,2015,4,10,Roxbury
7978,I152082399,2015-10-04,A7,0,2,1,2015,4,10,East Boston
7979,I152082025,2015-10-02,B3,0,18,6,2015,4,10,Mattapan
7980,I152083113,2015-10-06,B2,1,16,3,2015,4,10,Roxbury
7981,I152082975,2015-10-06,B2,0,10,3,2015,4,10,Roxbury
7982,I152083570,2015-10-08,C11,0,2,5,2015,4,10,Dorchester
7983,I152083504,2015-10-08,A7,1,20,4,2015,4,10,East Boston
7984,I152083430,2015-10-07,B2,0,16,4,2015,4,10,Roxbury
7985,I152084924,2015-10-13,B2,1,21,2,2015,4,10,Roxbury
7986,I152084952,2015-10-13,B3,0,23,2,2015,4,10,Dorchester
7987,I152084677,2015-10-11,C11,0,11,1,2015,4,10,Dorchester
7988,I152084437,2015-10-11,B3,1,1,1,2015,4,10,Dorchester
7989,I152084414,2015-10-11,E18,0,23,7,2015,4,10,Mattapan
7990,I152084421,2015-10-11,B2,1,0,1,2015,4,10,Dorchester
7991,I152084132,2015-10-10,B3,1,22,6,2015,4,10,Dorchester
7992,I152085314,2015-10-14,C11,0,0,4,2015,4,10,Dorchester
7993,I152085309,2015-10-14,E18,0,2,4,2015,4,10,Hyde Park
7994,I152085579,2015-10-15,B2,0,21,4,2015,4,10,Roxbury
7995,I152085932,2015-10-16,E13,1,7,6,2015,4,10,Jamaica Plain
7996,I152085860,2015-10-16,B3,1,22,5,2015,4,10,Dorchester
7997,I152085826,2015-10-15,B3,0,19,5,2015,4,10,Dorchester
7998,I152086186,2015-10-16,C6,1,10,6,2015,4,10,South Boston
7999,I152086119,2015-10-16,E18,0,18,6,2015,4,10,Hyde Park
8000,I152086703,2015-10-19,B3,0,21,1,2015,4,10,Mattapan
8001,I152086705,2015-10-19,B3,0,21,1,2015,4,10,Dorchester
8002,I152086506,2015-10-18,E13,0,2,1,2015,4,10,Jamaica Plain
8003,I152086508,2015-10-18,B2,0,2,1,2015,4,10,Roxbury
8004,I152086317,2015-10-17,B2,1,12,7,2015,4,10,Roxbury
8005,I152086989,2015-10-20,B2,0,22,2,2015,4,10,Dorchester
8006,I152086980,2015-10-20,B3,1,21,2,2015,4,10,Dorchester
8007,I152087299,2015-10-21,B2,0,0,4,2015,4,10,Dorchester
8008,I152087295,2015-10-21,E13,0,0,4,2015,4,10,Jamaica Plain
8009,I152087608,2015-10-22,B3,0,2,5,2015,4,10,Dorchester
8010,I150580973,2015-10-21,B3,1,7,4,2015,4,10,Dorchester
8011,I152087893,2015-10-23,C11,0,22,5,2015,4,10,Dorchester
8012,I152088493,2015-10-25,B3,0,14,1,2015,4,10,Dorchester
8013,I152088484,2015-10-25,B2,0,1,1,2015,4,10,Mission Hill
8014,I152088498,2015-10-25,D4,0,1,1,2015,4,10,South End
8015,I152088464,2015-10-25,D4,0,0,1,2015,4,10,Roxbury
8016,I152088419,2015-10-25,C11,0,20,7,2015,4,10,Dorchester
8017,I152088224,2015-10-24,C11,1,1,7,2015,4,10,Dorchester
8018,I152088173,2015-10-24,E18,1,21,6,2015,4,10,Hyde Park
8019,I152088110,2015-10-23,E13,1,17,6,2015,4,10,Roxbury
8020,I152088694,2015-10-25,B2,0,19,1,2015,4,10,Roxbury
8021,I152089247,2015-10-28,B3,1,20,3,2015,4,10,Mattapan
8022,I152089577,2015-10-29,B3,0,1,5,2015,4,10,Mattapan
8023,I152089547,2015-10-29,B2,0,21,4,2015,4,10,Roxbury
8024,I152089445,2015-10-28,C6,0,16,4,2015,4,10,South Boston
8025,I152089871,2015-10-30,C11,0,2,6,2015,4,10,Dorchester
8026,I152089786,2015-10-29,E13,0,18,5,2015,4,10,Mission Hill
8027,I152089801,2015-10-29,E18,0,19,5,2015,4,10,Hyde Park
8028,I152090763,2015-11-02,B3,0,21,1,2015,4,11,Mattapan
8029,I152090694,2015-11-01,B2,1,9,1,2015,4,11,Dorchester
8030,I152090511,2015-11-01,B2,0,3,1,2015,4,11,Roxbury
8031,I152090490,2015-11-01,B2,1,1,1,2015,4,11,Roxbury
8032,I152090498,2015-11-01,B2,0,2,1,2015,4,11,Dorchester
8033,I152090442,2015-11-01,B3,0,0,1,2015,4,11,Dorchester
8034,I152091570,2015-11-04,E13,0,11,4,2015,4,11,Jamaica Plain
8035,I152091915,2015-11-05,B2,0,15,5,2015,4,11,Dorchester
8036,I152091932,2015-11-05,D4,1,16,5,2015,4,11,Roxbury
8037,I152092710,2015-11-08,B3,0,0,1,2015,4,11,Dorchester
8038,I152092669,2015-11-08,B3,0,23,7,2015,4,11,Dorchester
8039,I152084946,2015-10-13,B2,0,23,2,2015,4,10,Mission Hill
8040,I152092594,2015-11-07,E18,0,17,7,2015,4,11,Hyde Park
8041,I152092434,2015-11-07,C6,1,4,7,2015,4,11,South Boston
8042,I152092439,2015-11-07,E13,0,5,7,2015,4,11,Jamaica Plain
8043,I152092370,2015-11-06,E13,1,10,6,2015,4,11,Roxbury
8044,I152092402,2015-11-07,B3,0,1,7,2015,4,11,Dorchester
8045,I152092364,2015-11-07,B2,0,23,6,2015,4,11,Roxbury
8046,I152092354,2015-11-10,B3,0,21,2,2015,4,11,Mattapan
8047,I152093832,2015-11-12,B3,1,23,4,2015,4,11,Dorchester
8048,I152092354,2015-11-07,B3,1,21,6,2015,4,11,Mattapan
8049,I152092406,2015-11-07,B3,0,0,7,2015,4,11,Dorchester
8050,I152093486,2015-11-10,D4,0,17,3,2015,4,11,Roxbury
8051,I152094082,2015-11-13,B2,0,19,5,2015,4,11,Roxbury
8052,I152095021,2015-11-16,B3,0,0,2,2015,4,11,Dorchester
8053,I152094932,2015-11-15,B2,0,16,1,2015,4,11,Roxbury
8054,I152094795,2015-11-15,B3,1,1,1,2015,4,11,Dorchester
8055,I152094509,2015-11-14,B2,1,5,7,2015,4,11,Roxbury
8056,I152094511,2015-11-14,C11,0,5,7,2015,4,11,Dorchester
8057,I152094449,2015-11-14,E5,1,0,7,2015,4,11,Roslindale
8058,I152095363,2015-11-17,B2,0,5,3,2015,4,11,Dorchester
8059,I152095345,2015-11-17,B3,0,2,3,2015,4,11,Dorchester
8060,I152095357,2015-11-17,C11,0,2,3,2015,4,11,Dorchester
8061,I152095023,2015-11-16,B3,1,0,2,2015,4,11,Mattapan
8062,I152095326,2015-11-17,B2,0,22,2,2015,4,11,Dorchester
8063,I152095295,2015-11-17,B2,0,20,2,2015,4,11,Dorchester
8064,I152095578,2015-11-18,C11,0,19,3,2015,4,11,Dorchester
8065,I152095555,2015-11-17,C11,1,18,3,2015,4,11,Dorchester
8066,I152095534,2015-11-17,B3,0,16,3,2015,4,11,Dorchester
8067,I152095931,2015-11-18,B2,0,18,4,2015,4,11,Roxbury
8068,I152095809,2015-11-18,E13,1,17,4,2015,4,11,Jamaica Plain
8069,I152096213,2015-11-20,D4,0,1,6,2015,4,11,South End
8070,I152097074,2015-11-23,B2,0,0,2,2015,4,11,Roxbury
8071,I152096853,2015-11-22,C11,0,4,1,2015,4,11,Dorchester
8072,I152096602,2015-11-21,B3,1,6,7,2015,4,11,Dorchester
8073,I152096528,2015-11-21,B2,0,23,6,2015,4,11,Roxbury
8074,I152096524,2015-11-21,B2,0,0,7,2015,4,11,Roxbury
8075,I152096575,2015-11-21,B3,0,2,7,2015,4,11,Dorchester
8076,I152096316,2015-11-20,B2,0,12,6,2015,4,11,Roxbury
8077,I152097209,2015-11-23,B3,1,14,2,2015,4,11,Dorchester
8078,I152097647,2015-11-25,B2,0,4,4,2015,4,11,Roxbury
8079,I152097636,2015-11-25,C11,0,2,4,2015,4,11,Dorchester
8080,I152097637,2015-11-25,B3,0,1,4,2015,4,11,Dorchester
8081,I152097201,2015-11-21,D14,1,14,7,2015,4,11,Brighton
8082,I152098108,2015-11-27,B2,0,1,6,2015,4,11,Roxbury
8083,I152097790,2015-11-25,B2,1,15,4,2015,4,11,Roxbury
8084,I152098114,2015-11-27,B3,1,1,6,2015,4,11,Dorchester
8085,I152098026,2015-11-26,C11,1,23,4,2015,4,11,Dorchester
8086,I152098558,2015-11-29,B3,1,19,7,2015,4,11,Dorchester
8087,I152098376,2015-11-28,B3,0,2,7,2015,4,11,Dorchester
8088,I152098326,2015-11-28,C11,1,21,6,2015,4,11,Dorchester
8089,I152098742,2015-11-29,B3,0,16,1,2015,4,11,Mattapan
8090,I152099359,2015-12-02,D4,0,20,3,2015,4,12,South End
8091,I152099723,2015-12-03,E13,0,0,5,2015,4,12,Jamaica Plain
8092,I152099700,2015-12-03,B3,0,21,4,2015,4,12,Dorchester
8093,I152099581,2015-12-02,B3,1,15,4,2015,4,12,Dorchester
8094,I152100039,2015-12-04,B3,0,4,6,2015,4,12,Dorchester
8095,I152100374,2015-12-05,B2,0,1,7,2015,4,12,Mission Hill
8096,I152100346,2015-12-05,B2,1,23,6,2015,4,12,Dorchester
8097,I152100309,2015-12-05,E13,1,21,6,2015,4,12,Jamaica Plain
8098,I152100291,2015-12-04,C11,0,18,6,2015,4,12,Dorchester
8099,I152100300,2015-12-04,C11,0,18,6,2015,4,12,Dorchester
8100,I152100791,2015-12-06,D4,1,15,1,2015,4,12,South End
8101,I152100437,2015-12-06,C11,0,23,7,2015,4,12,Dorchester
8102,I152099984,2015-12-04,B3,0,20,5,2015,4,12,Dorchester
8103,I152101888,2015-12-10,B3,0,2,5,2015,4,12,Mattapan
8104,I152101870,2015-12-10,A15,1,23,4,2015,4,12,Charlestown
8105,I152101592,2015-12-09,D14,0,4,4,2015,4,12,Brighton
8106,I152101573,2015-12-09,C11,0,0,4,2015,4,12,Dorchester
8107,I152101579,2015-12-09,B2,0,2,4,2015,4,12,Roxbury
8108,I152101289,2015-12-08,B2,0,8,3,2015,4,12,Dorchester
8109,I152101229,2015-12-09,B2,1,22,3,2015,4,12,Roxbury
8110,I152101203,2015-12-08,A1,0,19,2,2015,4,12,West End
8111,I152102204,2015-12-11,B3,0,7,6,2015,4,12,Dorchester
8112,I152102993,2015-12-14,E13,0,23,1,2015,4,12,Jamaica Plain
8113,I152102977,2015-12-14,B3,0,21,1,2015,4,12,Mattapan
8114,I152102802,2015-12-13,B3,0,22,7,2015,4,12,Dorchester
8115,I152102794,2015-12-13,E18,0,5,1,2015,4,12,Hyde Park
8116,I152102775,2015-12-13,E13,0,2,1,2015,4,12,Jamaica Plain
8117,I152102788,2015-12-13,A1,0,4,1,2015,4,12,Downtown
8118,I152102724,2015-12-13,B2,1,22,7,2015,4,12,Dorchester
8119,I152102739,2015-12-13,B3,0,0,1,2015,4,12,Mattapan
8120,I152102707,2015-12-13,B3,1,20,7,2015,4,12,Dorchester
8121,I152102696,2015-12-13,B2,0,19,7,2015,4,12,Roxbury
8122,I152102678,2015-12-12,C11,0,18,7,2015,4,12,Dorchester
8123,I152102679,2015-12-12,B3,0,18,7,2015,4,12,Dorchester
8124,I152101384,2015-12-12,D4,0,14,7,2015,4,12,South End
8125,I152102480,2015-12-12,D4,1,23,6,2015,4,12,South End
8126,I152102317,2015-12-11,B3,1,14,6,2015,4,12,Dorchester
8127,I152103302,2015-12-15,D14,0,1,3,2015,4,12,Allston
8128,I152103398,2015-12-15,B2,0,11,3,2015,4,12,Roxbury
8129,I152101221,2015-12-08,C11,0,21,2,2015,4,12,Dorchester
8130,I152103493,2015-12-15,C11,1,16,3,2015,4,12,Dorchester
8131,I152103897,2015-12-17,C11,0,1,5,2015,4,12,Dorchester
8132,I152103887,2015-12-17,E18,0,0,5,2015,4,12,Hyde Park
8133,I152104550,2015-12-19,B3,1,3,7,2015,4,12,Dorchester
8134,I152104568,2015-12-19,B2,0,4,7,2015,4,12,Dorchester
8135,I152104518,2015-12-19,B2,0,23,6,2015,4,12,Roxbury
8136,I152105668,2015-12-23,B2,0,1,4,2015,4,12,Roxbury
8137,I152105739,2015-12-23,C11,0,10,4,2015,4,12,Mattapan
8138,I152107154,2015-12-29,E13,1,0,3,2015,4,12,Jamaica Plain
8139,I152106664,2015-12-27,B2,1,3,1,2015,4,12,Dorchester
8140,I152106589,2015-12-27,B3,1,20,7,2015,4,12,Dorchester
8141,I152106411,2015-12-26,C11,1,4,7,2015,4,12,Dorchester
8142,I152106412,2015-12-26,B3,1,4,7,2015,4,12,Roxbury
8143,I152106214,2015-12-25,B2,1,1,6,2015,4,12,Roxbury
8144,I152106145,2015-12-24,E18,1,18,5,2015,4,12,Hyde Park
8145,I152106681,2015-12-27,B2,0,3,1,2015,4,12,Roxbury
8146,I152106648,2015-12-27,B3,0,2,1,2015,4,12,Mattapan
8147,I152106646,2015-12-27,B2,0,2,1,2015,4,12,Dorchester
8148,I152106414,2015-12-26,C11,0,4,7,2015,4,12,Dorchester
8149,I152106367,2015-12-26,B3,0,20,6,2015,4,12,Dorchester
8150,I152106239,2015-12-25,C11,0,4,6,2015,4,12,Dorchester
8151,I152106209,2015-12-25,C11,0,1,6,2015,4,12,Dorchester
8152,I152106197,2015-12-25,B2,0,23,5,2015,4,12,Roxbury
8153,I152106192,2015-12-25,B2,0,22,5,2015,4,12,Roxbury
8154,I152107367,2015-12-30,C11,1,22,3,2015,4,12,Dorchester
8155,I152107373,2015-12-30,B2,0,23,3,2015,4,12,Roxbury
8156,I152107359,2015-12-30,B3,0,21,3,2015,4,12,Dorchester
8157,I152107655,2015-12-31,C11,0,6,5,2015,4,12,Dorchester
8158,I162000814,2016-01-04,E5,0,20,1,2016,1,1,West Roxbury
8159,I162000797,2016-01-04,D4,0,19,1,2016,1,1,Roxbury
8160,I152106678,2015-12-27,B3,0,3,1,2015,4,12,Dorchester
8161,I162000579,2016-01-02,B3,0,19,6,2016,1,1,Dorchester
8162,I162000556,2016-01-02,B2,0,17,7,2016,1,1,Dorchester
8163,I162000386,2016-01-02,B2,0,5,7,2016,1,1,Roxbury
8164,I162000333,2016-01-03,D14,0,22,7,2016,1,1,Brighton
8165,I162000334,2016-01-02,B2,0,22,6,2016,1,1,Dorchester
8166,I162000008,2016-01-01,C11,0,0,6,2016,1,1,Dorchester
8167,I162000005,2016-01-01,B2,0,0,6,2016,1,1,Roxbury
8168,I162000088,2016-01-01,E13,0,4,6,2016,1,1,Jamaica Plain
8169,I152107876,2016-01-01,C11,0,23,5,2015,4,12,Dorchester
8170,I152107777,2015-12-31,C11,0,17,5,2015,4,12,Dorchester
8171,I152107795,2015-12-31,C11,0,18,5,2015,4,12,Dorchester
8172,I162001092,2016-01-05,E13,1,23,2,2016,1,1,Jamaica Plain
8173,I162000058,2016-01-01,B2,0,2,6,2016,1,1,Roxbury
8174,I162001079,2016-01-05,B2,1,22,2,2016,1,1,Dorchester
8175,I162001341,2016-01-06,D4,0,19,3,2016,1,1,South End
8176,I162001265,2016-01-05,B3,0,15,3,2016,1,1,Dorchester
8177,I152098640,2015-11-29,B3,0,6,1,2015,4,11,Dorchester
8178,I162001647,2016-01-08,B2,1,22,5,2016,1,1,Dorchester
8179,I162001751,2016-01-07,C11,1,11,5,2016,1,1,Dorchester
8180,I162002780,2016-01-11,B2,1,0,2,2016,1,1,Dorchester
8181,I162002576,2016-01-10,C11,0,2,1,2016,1,1,Dorchester
8182,I162002544,2016-01-10,B3,1,22,7,2016,1,1,Dorchester
8183,I162003043,2016-01-12,B3,0,23,2,2016,1,1,Mattapan
8184,I162003266,2016-01-12,C11,1,17,3,2016,1,1,Dorchester
8185,I162003876,2016-01-15,E13,1,23,5,2016,1,1,Jamaica Plain
8186,I162003842,2016-01-14,B2,0,18,5,2016,1,1,Roxbury
8187,I162004683,2016-01-18,B2,0,3,2,2016,1,1,Roxbury
8188,I162004428,2016-01-17,E18,0,23,7,2016,1,1,Hyde Park
8189,I162004400,2016-01-17,B3,1,20,7,2016,1,1,Dorchester
8190,I162004195,2016-01-16,E13,0,1,7,2016,1,1,Jamaica Plain
8191,I162002713,2016-01-10,A7,0,16,1,2016,1,1,East Boston
8192,I162004882,2016-01-19,C11,1,19,2,2016,1,1,Mattapan
8193,I162004906,2016-01-19,C11,0,21,2,2016,1,1,Dorchester
8194,I162004808,2016-01-18,B3,0,13,2,2016,1,1,Dorchester
8195,I162000370,2016-01-02,D4,0,2,7,2016,1,1,Fenway
8196,I162005083,2016-01-19,C11,0,15,3,2016,1,1,Dorchester
8197,I162005692,2016-01-21,E18,0,18,5,2016,1,1,Roslindale
8198,I162006202,2016-01-23,C11,0,17,7,2016,1,1,Dorchester
8199,I162006082,2016-01-23,B2,1,2,7,2016,1,1,Roxbury
8200,I162006065,2016-01-23,B3,1,2,7,2016,1,1,Dorchester
8201,I162004471,2016-01-17,A15,1,3,1,2016,1,1,Charlestown
8202,I162006481,2016-01-25,A7,1,23,1,2016,1,1,East Boston
8203,I162006451,2016-01-25,C11,1,19,1,2016,1,1,Dorchester
8204,I162006745,2016-01-26,D4,1,22,2,2016,1,1,Back Bay
8205,I162006733,2016-01-26,C11,1,21,2,2016,1,1,Dorchester
8206,I162006689,2016-01-25,A7,1,17,2,2016,1,1,East Boston
8207,I162007034,2016-01-27,D4,1,22,3,2016,1,1,South End
8208,I162007068,2016-01-27,B2,0,2,4,2016,1,1,Roxbury
8209,I162007031,2016-01-27,B2,0,22,3,2016,1,1,Mission Hill
8210,I162006994,2016-01-27,B3,0,19,3,2016,1,1,Mattapan
8211,I162006952,2016-01-26,C11,0,17,3,2016,1,1,Dorchester
8212,I162007352,2016-01-28,B2,1,1,5,2016,1,1,Roxbury
8213,I162007348,2016-01-28,D14,0,1,5,2016,1,1,Brighton
8214,I162007314,2016-01-28,D4,1,20,4,2016,1,1,South End
8215,I162007641,2016-01-29,A7,0,1,6,2016,1,1,East Boston
8216,I162007534,2016-01-28,B2,0,17,5,2016,1,1,Roxbury
8217,I162007447,2016-01-28,E18,1,12,5,2016,1,1,Roslindale
8218,I162008416,2016-02-01,E13,1,21,1,2016,1,1,Roxbury
8219,I162008474,2016-02-01,C11,0,5,2,2016,1,2,Dorchester
8220,I162008237,2016-01-31,B2,0,5,1,2016,1,1,Dorchester
8221,I162009219,2016-02-03,E13,1,15,4,2016,1,2,Jamaica Plain
8222,I162009636,2016-02-05,E13,0,23,5,2016,1,2,Roxbury
8223,I162009548,2016-02-04,B2,0,16,5,2016,1,2,Roxbury
8224,I162009542,2016-02-04,E13,1,17,5,2016,1,2,Jamaica Plain
8225,I162010090,2016-02-07,E13,0,19,7,2016,1,2,Jamaica Plain
8226,I162012599,2016-02-17,A15,1,1,4,2016,1,2,Charlestown
8227,I162012587,2016-02-17,D4,0,23,3,2016,1,2,Fenway
8228,I162012437,2016-02-16,B2,0,14,3,2016,1,2,Roxbury
8229,I162012863,2016-02-18,C11,1,0,5,2016,1,2,Dorchester
