objectid,arrest_num,inc_num,charge_seq_num,charge_code,charge_desc,nibrs_code,nibrs_desc,arr_date,gender_desc,race_desc,ethnicity_desc,age,juvenile,hour_of_day,day_of_week,year,quarter,month,neighborhood,district
92107,20200002505,202010794,1,12314,ASSAULT & BATTERY (209A),13A,AGGRAVATED ASSAULT,2020-02-09,MALE,WHITE,NOT HISPANIC OR LATINX,23,NO,1,1,2020,1,2,West Roxbury,E5
92108,20200002518,172097099,1,21411,OTHER,Unknown,OTHER,2020-01-25,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,20,NO,9,7,2020,1,1,Hyde Park,E18
92109,20200002518,172097099,2,41311,OTHER,Unknown,OTHER,2020-01-25,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,20,NO,9,7,2020,1,1,Hyde Park,E18
92176,20200002806,202009330,1,12314,ASSAULT & BATTERY (209A),13A,AGGRAVATED ASSAULT,2020-02-04,FEMALE,WHITE,NOT HISPANIC OR LATINX,44,NO,6,3,2020,1,2,Roxbury,B2
92177,20200003014,192103910,1,12112,UNARMED ASSAULT,13B,SIMPLE ASSAULT,2020-02-09,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,45,NO,0,1,2020,1,2,Unknown,Unknown
92178,20200003218,202009104,1,11929,RESISTING ARREST,90C,DISORDERLY CONDUCT,2020-02-03,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,21,NO,13,2,2020,1,2,Hyde Park,E18
92179,20200003218,202009104,2,31211,OTHER,Unknown,OTHER,2020-02-03,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,21,NO,13,2,2020,1,2,Hyde Park,E18
92180,20200003218,202009104,3,31221,OPERATING AFTER REVOCATION OR SUSPENSION,NR,MOTOR VEHICLE VIOLATIONS,2020-02-03,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,21,NO,13,2,2020,1,2,Hyde Park,E18
92182,20200003318,202009432,1,12314,ASSAULT & BATTERY (209A),13A,AGGRAVATED ASSAULT,2020-02-04,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,55,NO,13,3,2020,1,2,Hyde Park,E18
92183,20200003413,202008268,1,12611,OTHER,Unknown,OTHER,2020-01-31,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,16,YES,9,6,2020,1,1,Jamaica Plain,E13
92231,20200003713,202009066,1,12113,ASSAULT AND BATTERY,13A,AGGRAVATED ASSAULT,2020-02-03,FEMALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,15,YES,11,2,2020,1,2,Jamaica Plain,E13
92232,20200003818,196102532,1,11912,ASSAULT AND BATTERY BY MEANS OF A DANGEROUS WEAPON (GUN),13A,AGGRAVATED ASSAULT,2020-02-12,MALE,WHITE,HISPANIC OR LATINX,25,NO,16,4,2020,1,2,Jamaica Plain,E13
92233,20200003818,196102532,2,11931,ASSAULT WITH INTENT TO MURDER,120,ROBBERY,2020-02-12,MALE,WHITE,HISPANIC OR LATINX,25,NO,16,4,2020,1,2,Jamaica Plain,E13
92234,20200003818,196102532,3,12214,UNLAWFUL POSSESSION OF FIREARM,520,WEAPON LAW VIOLATIONS,2020-02-12,MALE,WHITE,HISPANIC OR LATINX,25,NO,16,4,2020,1,2,Jamaica Plain,E13
92235,20200003818,196102532,4,22212,DESTRUCTION OR INJURY OF PERSONAL PROPERTY,290,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2020-02-12,MALE,WHITE,HISPANIC OR LATINX,25,NO,16,4,2020,1,2,Jamaica Plain,E13
92340,20200003914,202012114,1,12314,ASSAULT & BATTERY (209A),13A,AGGRAVATED ASSAULT,2020-02-13,FEMALE,WHITE,NOT HISPANIC OR LATINX,27,NO,17,5,2020,1,2,Allston,D14
92341,20200003914,202012114,2,12611,OTHER,Unknown,OTHER,2020-02-13,FEMALE,WHITE,NOT HISPANIC OR LATINX,27,NO,17,5,2020,1,2,Allston,D14
92342,20200003914,202012114,3,12611,OTHER,Unknown,OTHER,2020-02-13,FEMALE,WHITE,NOT HISPANIC OR LATINX,27,NO,17,5,2020,1,2,Allston,D14
92343,20200003918,292919425,1,11815,ASSAULT TO ROB UNARMED,120,ROBBERY,2020-02-13,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,21,NO,6,5,2020,1,2,Hyde Park,E18
92392,20200009503,202007864,1,11911,OTHER,Unknown,OTHER,2020-01-30,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,66,NO,20,4,2020,1,1,Dorchester,B3
92443,20200004218,202012790,1,12611,OTHER,Unknown,OTHER,2020-02-16,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,26,NO,0,1,2020,1,2,Hyde Park,E18
92444,20200004218,202012790,2,12700,Unknown,Unknown,OTHER,2020-02-16,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,26,NO,0,1,2020,1,2,Hyde Park,E18
92445,20200004218,202012790,3,22212,DESTRUCTION OR INJURY OF PERSONAL PROPERTY,290,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2020-02-16,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,26,NO,0,1,2020,1,2,Hyde Park,E18
92448,20200005006,202014982,1,41127,"TRAFFICKING; CLASS B, DRUGS 14-27 GRAMS",35A,DRUG/NARCOTIC VIOLATIONS,2020-02-24,FEMALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,30,NO,13,2,2020,1,2,South Boston,C6
92449,20200005006,202014982,2,41224,"POSSESSION W/I TO DISTRIBUTE, CLASS B, DRUGS",35A,DRUG/NARCOTIC VIOLATIONS,2020-02-24,FEMALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,30,NO,13,2,2020,1,2,South Boston,C6
92498,20200009503,202007864,2,11911,OTHER,Unknown,OTHER,2020-01-30,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,66,NO,20,4,2020,1,1,Dorchester,B3
92500,20200009503,202007864,3,12314,ASSAULT & BATTERY (209A),13A,AGGRAVATED ASSAULT,2020-01-30,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,66,NO,20,4,2020,1,1,Dorchester,B3
92503,20200009503,202007864,4,12315,"ASSAULT & BATTERY, DANGEROUS WEAPON (209A)",13A,AGGRAVATED ASSAULT,2020-01-30,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,66,NO,20,4,2020,1,1,Dorchester,B3
92505,20200009505,202039281,1,12314,ASSAULT & BATTERY (209A),13A,AGGRAVATED ASSAULT,2020-06-06,MALE,WHITE,NOT HISPANIC OR LATINX,60,NO,21,6,2020,2,6,West Roxbury,E5
92520,20200007606,20206322,1,12314,ASSAULT & BATTERY (209A),13A,AGGRAVATED ASSAULT,2020-04-11,FEMALE,WHITE,NOT HISPANIC OR LATINX,33,NO,23,6,2020,2,4,Fenway,D4
92521,20200007652,2020-751,1,12314,ASSAULT & BATTERY (209A),13A,AGGRAVATED ASSAULT,2020-01-26,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,50,NO,0,1,2020,1,1,Unknown,MBTA
92528,20200007811,202008323,1,41313,"POSSESSION OF CLASS B, DRUGS",35A,DRUG/NARCOTIC VIOLATIONS,2020-01-31,MALE,WHITE,HISPANIC OR LATINX,51,NO,12,6,2020,1,1,Dorchester,C11
92529,20200007906,202002538,1,21425,LARCENY OVER $250,23H,ALL OTHER LARCENY,2020-04-24,MALE,WHITE,NOT HISPANIC OR LATINX,29,NO,12,6,2020,2,4,South Boston,C6
92533,20200007952,2020-837,1,12416,"PERSON, DISORDERLY",90C,DISORDERLY CONDUCT,2020-01-28,MALE,WHITE,NOT HISPANIC OR LATINX,50,NO,14,3,2020,1,1,Unknown,MBTA
92537,20200007952,2020-837,2,21129,TRESPASSING,90J,TRESSPASSING,2020-01-28,MALE,WHITE,NOT HISPANIC OR LATINX,50,NO,14,3,2020,1,1,Unknown,MBTA
92545,20200008013,202023364,1,11817,INTENT TO ROB WHILE ARMED,120,ROBBERY,2020-03-27,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,15,YES,19,6,2020,1,3,Jamaica Plain,E13
92636,20200005114,202014608,1,22113,"BUYING, RECEIVING OR CONCEALING STOLEN GOODS",280,STOLEN PROPERTY OFFENSES,2020-02-23,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,17,YES,6,1,2020,1,2,Brighton,D14
92644,20200005205,202020748,1,31214,OPERATING M/V WITHOUT A LICENSE,NR,MOTOR VEHICLE VIOLATIONS,2020-03-16,MALE,WHITE,HISPANIC OR LATINX,25,NO,21,1,2020,1,3,Roslindale,E5
92649,20200009513,202028974,1,12314,ASSAULT & BATTERY (209A),13A,AGGRAVATED ASSAULT,2020-04-24,MALE,WHITE,NOT HISPANIC OR LATINX,45,NO,3,6,2020,2,4,Jamaica Plain,E13
92652,20200005314,202014883,1,11812,UNARMED ROBBERY,Unknown,OTHER,2020-02-24,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,15,YES,11,2,2020,1,2,Brighton,D14
92656,20200009552,2020-001013,1,11914,ASSAULT AND BATTERY BY MEANS OF A DANGEROUS WEAPON,13A,AGGRAVATED ASSAULT,2020-02-02,MALE,WHITE,NOT HISPANIC OR LATINX,64,NO,16,1,2020,1,2,Unknown,MBTA
92660,20200009602,192017859,1,41312,"POSSESSION OF CLASS A, DRUGS",35A,DRUG/NARCOTIC VIOLATIONS,2020-01-27,FEMALE,WHITE,NOT HISPANIC OR LATINX,25,NO,11,2,2020,1,1,Roxbury,B2
92664,20200009602,192017859,2,41313,"POSSESSION OF CLASS B, DRUGS",35A,DRUG/NARCOTIC VIOLATIONS,2020-01-27,FEMALE,WHITE,NOT HISPANIC OR LATINX,25,NO,11,2,2020,1,1,Roxbury,B2
92674,20200009811,202008423,1,12312,VIOLATION OF AN EXISTING RESTRAINING ORDER,90Z,ALL OTHER OFFENSES,2020-02-05,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,26,NO,13,4,2020,1,2,Dorchester,C11
92678,20200009918,202032636,1,11614,INDECENT A&B ON A PERSON WHO HAS ATTAINED 14,13A,AGGRAVATED ASSAULT,2020-05-11,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,23,NO,5,2,2020,2,5,Hyde Park,E18
92683,20200010005,202020472,1,11911,OTHER,Unknown,OTHER,2020-06-21,MALE,WHITE,HISPANIC OR LATINX,34,NO,11,1,2020,2,6,Roslindale,E18
92686,20200010006,202037811,1,12416,"PERSON, DISORDERLY",90C,DISORDERLY CONDUCT,2020-06-01,FEMALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,24,NO,3,2,2020,2,6,Beacon Hill,A1
92813,20200008052,2020-753,1,11931,ASSAULT WITH INTENT TO MURDER,120,ROBBERY,2020-01-29,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,19,NO,19,3,2020,1,1,Unknown,MBTA
92831,20200008303,202006636,1,21116,DWELLING HOUSE; DAY BREAKING AND ENTERING,220,BURGLARY/B&E,2020-01-25,FEMALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,26,NO,12,7,2020,1,1,Dorchester,B3
92833,20200008303,202006636,2,22211,OTHER,Unknown,OTHER,2020-01-25,FEMALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,26,NO,12,7,2020,1,1,Dorchester,B3
92837,20200008306,202031805,1,12314,ASSAULT & BATTERY (209A),13A,AGGRAVATED ASSAULT,2020-05-07,FEMALE,WHITE,NOT HISPANIC OR LATINX,23,NO,23,4,2020,2,5,South Boston,C6
92876,20200010105,202044459,1,12314,ASSAULT & BATTERY (209A),13A,AGGRAVATED ASSAULT,2020-06-25,MALE,WHITE,NOT HISPANIC OR LATINX,47,NO,20,4,2020,2,6,West Roxbury,E5
92880,20200010105,202044459,2,12711,ASSAULT & BATTERY (209A) FELONY SECTION,13A,AGGRAVATED ASSAULT,2020-06-25,MALE,WHITE,NOT HISPANIC OR LATINX,47,NO,20,4,2020,2,6,West Roxbury,E5
92883,20200010152,2020-1104,1,12421,"DISORDERLY CONDUCT, OTHER",Unknown,OTHER,2020-02-04,MALE,WHITE,NOT HISPANIC OR LATINX,54,NO,18,3,2020,1,2,Unknown,MBTA
92887,20200010152,2020-1104,2,21129,TRESPASSING,90J,TRESSPASSING,2020-02-04,MALE,WHITE,NOT HISPANIC OR LATINX,54,NO,18,3,2020,1,2,Unknown,MBTA
92891,20200010203,202008185,1,21311,OTHER,Unknown,OTHER,2020-01-31,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,49,NO,19,5,2020,1,1,Mattapan,B3
92904,20200010313,202030668,1,12312,VIOLATION OF AN EXISTING RESTRAINING ORDER,90Z,ALL OTHER OFFENSES,2020-05-02,MALE,WHITE,NOT HISPANIC OR LATINX,23,NO,21,6,2020,2,5,Jamaica Plain,E13
92906,20200010314,202033062,1,12211,OTHER,Unknown,OTHER,2020-05-12,MALE,BLACK OR AFRICAN AMERICAN,HISPANIC OR LATINX,19,NO,19,3,2020,2,5,Brighton,D14
92908,20200010314,202033062,2,12211,OTHER,Unknown,OTHER,2020-05-12,MALE,BLACK OR AFRICAN AMERICAN,HISPANIC OR LATINX,19,NO,19,3,2020,2,5,Brighton,D14
92910,20200010314,202033062,3,12211,OTHER,Unknown,OTHER,2020-05-12,MALE,BLACK OR AFRICAN AMERICAN,HISPANIC OR LATINX,19,NO,19,3,2020,2,5,Brighton,D14
92912,20200010314,202033062,4,12214,UNLAWFUL POSSESSION OF FIREARM,520,WEAPON LAW VIOLATIONS,2020-05-12,MALE,BLACK OR AFRICAN AMERICAN,HISPANIC OR LATINX,19,NO,19,3,2020,2,5,Brighton,D14
92917,20200010413,202030772,1,12312,VIOLATION OF AN EXISTING RESTRAINING ORDER,90Z,ALL OTHER OFFENSES,2020-05-02,MALE,WHITE,HISPANIC OR LATINX,35,NO,12,7,2020,2,5,Roxbury,B2
92929,20200010505,202046389,1,12314,ASSAULT & BATTERY (209A),13A,AGGRAVATED ASSAULT,2020-07-02,MALE,WHITE,HISPANIC OR LATINX,28,NO,0,5,2020,3,7,West Roxbury,E5
92933,20200010505,202046389,2,12511,OTHER,Unknown,OTHER,2020-07-02,MALE,WHITE,HISPANIC OR LATINX,28,NO,0,5,2020,3,7,West Roxbury,E5
92941,20200010505,202046389,3,22313,DESTRUCTION OR INJURY OF PERSONAL PROPERTY,290,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2020-07-02,MALE,WHITE,HISPANIC OR LATINX,28,NO,0,5,2020,3,7,West Roxbury,E5
92945,20200010603,202008363,1,12611,OTHER,Unknown,OTHER,2020-01-31,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,16,YES,15,6,2020,1,1,Dorchester,B3
92949,20200010603,202008363,2,21515,RECEIVING STOLEN MOTOR VEHICLE,26A,FALSE PRETENSE/SWINDLE/CONFIDENCE GAMES,2020-01-31,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,16,YES,15,6,2020,1,1,Dorchester,B3
93040,20200010605,202049487,1,12214,UNLAWFUL POSSESSION OF FIREARM,520,WEAPON LAW VIOLATIONS,2020-07-13,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,14,YES,18,2,2020,3,7,Roslindale,E5
93042,20200008406,202032017,1,11913,ASSAULT AND BATTERY BY MEANS OF A DANGEROUS WEAPON (KNIFE),13A,AGGRAVATED ASSAULT,2020-05-08,FEMALE,WHITE,NOT HISPANIC OR LATINX,30,NO,2,6,2020,2,5,Fenway,D4
93046,20200008407,202023909,1,11917,ASSAULT BY MEANS OF A DANGEROUS WEAPON (KNIFE),13A,AGGRAVATED ASSAULT,2020-03-30,MALE,WHITE,NOT HISPANIC OR LATINX,42,NO,16,2,2020,1,3,East Boston,A7
93047,20200010713,202031222,1,21419,LARCENY,23D,THEFT FROM BUILDING,2020-05-04,MALE,WHITE,HISPANIC OR LATINX,38,NO,14,2,2020,2,5,Jamaica Plain,E13
93050,20200008411,202008651,1,31221,OPERATING AFTER REVOCATION OR SUSPENSION,NR,MOTOR VEHICLE VIOLATIONS,2020-02-01,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,21,NO,16,7,2020,1,2,Dorchester,C11
93054,20200008413,202024409,1,12315,"ASSAULT & BATTERY, DANGEROUS WEAPON (209A)",13A,AGGRAVATED ASSAULT,2020-04-01,FEMALE,WHITE,HISPANIC OR LATINX,20,NO,17,4,2020,2,4,Roxbury,E13
93057,20200008505,202033539,1,12312,VIOLATION OF AN EXISTING RESTRAINING ORDER,90Z,ALL OTHER OFFENSES,2020-05-15,MALE,WHITE,HISPANIC OR LATINX,26,NO,21,5,2020,2,5,West Roxbury,E5
93060,20200008505,202033539,2,31214,OPERATING M/V WITHOUT A LICENSE,NR,MOTOR VEHICLE VIOLATIONS,2020-05-15,MALE,WHITE,HISPANIC OR LATINX,26,NO,21,5,2020,2,5,West Roxbury,E5
93061,20200010914,202032006,1,11914,ASSAULT AND BATTERY BY MEANS OF A DANGEROUS WEAPON,13A,AGGRAVATED ASSAULT,2020-05-23,MALE,WHITE,HISPANIC OR LATINX,25,NO,3,7,2020,2,5,Allston,D14
93064,20200010914,202032006,2,12316,THREATS (209A),13C,INTIMIDATION,2020-05-23,MALE,WHITE,HISPANIC OR LATINX,25,NO,3,7,2020,2,5,Allston,D14
93067,20200010914,202032006,3,12711,ASSAULT & BATTERY (209A) FELONY SECTION,13A,AGGRAVATED ASSAULT,2020-05-23,MALE,WHITE,HISPANIC OR LATINX,25,NO,3,7,2020,2,5,Allston,D14
93068,20200008607,202024239,1,12314,ASSAULT & BATTERY (209A),13A,AGGRAVATED ASSAULT,2020-04-01,FEMALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,26,NO,0,4,2020,2,4,East Boston,A7
93071,20200011006,202040327,1,21122,BREAKING AND ENTERING A BUILDING OR SHIP; INTENT TO COMMIT A FELONY,220,BURGLARY/B&E,2020-06-10,FEMALE,WHITE,NOT HISPANIC OR LATINX,30,NO,3,4,2020,2,6,South End,D4
93072,20200008607,202024239,2,12315,"ASSAULT & BATTERY, DANGEROUS WEAPON (209A)",13A,AGGRAVATED ASSAULT,2020-04-01,FEMALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,26,NO,0,4,2020,2,4,East Boston,A7
93075,20200011006,202040327,2,21425,LARCENY OVER $250,23H,ALL OTHER LARCENY,2020-06-10,FEMALE,WHITE,NOT HISPANIC OR LATINX,30,NO,3,4,2020,2,6,South End,D4
93079,20200011014,202035569,1,11913,ASSAULT AND BATTERY BY MEANS OF A DANGEROUS WEAPON (KNIFE),13A,AGGRAVATED ASSAULT,2020-05-23,MALE,WHITE,HISPANIC OR LATINX,51,NO,11,7,2020,2,5,Allston,D14
93309,20200008613,202025235,1,11911,OTHER,Unknown,OTHER,2020-04-05,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,34,NO,18,1,2020,2,4,Jamaica Plain,E13
93313,20200008706,202034160,1,11914,ASSAULT AND BATTERY BY MEANS OF A DANGEROUS WEAPON,13A,AGGRAVATED ASSAULT,2020-05-17,FEMALE,WHITE,NOT HISPANIC OR LATINX,29,NO,15,1,2020,2,5,Dorchester,C6
93316,20200008706,202034160,2,21312,SHOPLIFTING - $200&OVER,23C,SHOPLIFITING,2020-05-17,FEMALE,WHITE,NOT HISPANIC OR LATINX,29,NO,15,1,2020,2,5,Dorchester,C6
93320,20200008752,2020-926,1,41313,"POSSESSION OF CLASS B, DRUGS",35A,DRUG/NARCOTIC VIOLATIONS,2020-01-30,MALE,WHITE,NOT HISPANIC OR LATINX,29,NO,18,5,2020,1,1,Unknown,MBTA
93324,20200008806,202034578,1,12314,ASSAULT & BATTERY (209A),13A,AGGRAVATED ASSAULT,2020-05-19,MALE,WHITE,NOT HISPANIC OR LATINX,21,NO,12,3,2020,2,5,South Boston,C6
93328,20200008811,202008790,1,12416,"PERSON, DISORDERLY",90C,DISORDERLY CONDUCT,2020-02-02,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,27,NO,4,1,2020,1,2,Dorchester,C11
93331,20200008902,192041118,1,21514,LARCENY OF A MOTOR VEHICLE,26A,FALSE PRETENSE/SWINDLE/CONFIDENCE GAMES,2020-01-25,MALE,WHITE,NOT HISPANIC OR LATINX,35,NO,1,7,2020,1,1,Dorchester,B2
93335,20200008902,192041118,2,22113,"BUYING, RECEIVING OR CONCEALING STOLEN GOODS",280,STOLEN PROPERTY OFFENSES,2020-01-25,MALE,WHITE,NOT HISPANIC OR LATINX,35,NO,1,7,2020,1,1,Dorchester,B2
93339,20200008903,202007343,1,12114,ASSAULT AND BATTERY ON A POLICE OFFICER (NO INJURIES),13A,AGGRAVATED ASSAULT,2020-01-28,FEMALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,30,NO,0,3,2020,1,1,Dorchester,B3
93343,20200008903,202007343,2,12619,FAILURE TO ATTEND JURY DUTY,90Z,ALL OTHER OFFENSES,2020-01-28,FEMALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,30,NO,0,3,2020,1,1,Dorchester,B3
93414,20200005518,202015236,1,31214,OPERATING M/V WITHOUT A LICENSE,NR,MOTOR VEHICLE VIOLATIONS,2020-02-25,MALE,WHITE,HISPANIC OR LATINX,46,NO,13,3,2020,1,2,Hyde Park,E18
93436,20200006007,202018339,1,11918,ASSAULT BY MEANS OF A DANGEROUS WEAPON,13A,AGGRAVATED ASSAULT,2020-03-07,MALE,WHITE,HISPANIC OR LATINX,29,NO,0,7,2020,1,3,East Boston,A7
93673,20200006207,202018723,1,41221,"DISTRIBUTION OF CLASS B, DRUGS",35A,DRUG/NARCOTIC VIOLATIONS,2020-03-08,MALE,WHITE,NOT HISPANIC OR LATINX,39,NO,14,1,2020,1,3,East Boston,A7
93678,20200006311,202006778,1,12314,ASSAULT & BATTERY (209A),13A,AGGRAVATED ASSAULT,2020-01-26,MALE,WHITE,NOT HISPANIC OR LATINX,34,NO,22,7,2020,1,1,Dorchester,C11
93679,20200006314,202018439,1,12315,"ASSAULT & BATTERY, DANGEROUS WEAPON (209A)",13A,AGGRAVATED ASSAULT,2020-03-07,MALE,WHITE,NOT HISPANIC OR LATINX,28,NO,14,7,2020,1,3,Brighton,D14
93740,20200006405,202025505,1,11915,ASSAULT AND BATTERY (INJURIES),13A,AGGRAVATED ASSAULT,2020-04-07,MALE,WHITE,NOT HISPANIC OR LATINX,49,NO,11,3,2020,2,4,Roslindale,E5
93741,20200006405,202025505,2,12611,OTHER,Unknown,OTHER,2020-04-07,MALE,WHITE,NOT HISPANIC OR LATINX,49,NO,11,3,2020,2,4,Roslindale,E5
93743,20200006705,202026443,1,12314,ASSAULT & BATTERY (209A),13A,AGGRAVATED ASSAULT,2020-04-11,FEMALE,WHITE,NOT HISPANIC OR LATINX,45,NO,17,7,2020,2,4,West Roxbury,E5
93744,20200006705,202026443,2,12315,"ASSAULT & BATTERY, DANGEROUS WEAPON (209A)",13A,AGGRAVATED ASSAULT,2020-04-11,FEMALE,WHITE,NOT HISPANIC OR LATINX,45,NO,17,7,2020,2,4,West Roxbury,E5
93747,20200007107,202020965,1,11814,ARMED ROBBERY,120,ROBBERY,2020-03-17,MALE,WHITE,HISPANIC OR LATINX,16,YES,0,3,2020,1,3,East Boston,A7
93748,20200007114,202022997,1,12314,ASSAULT & BATTERY (209A),13A,AGGRAVATED ASSAULT,2020-03-26,FEMALE,WHITE,NOT HISPANIC OR LATINX,39,NO,22,4,2020,1,3,Brighton,D14
93749,20200007406,202025406,1,51311,DRINKING ALCOHOLIC BEVERAGES IN PUBLIC,90Z,ALL OTHER OFFENSES,2020-04-06,FEMALE,WHITE,HISPANIC OR LATINX,23,NO,17,2,2020,2,4,South End,D4
93814,20200011114,202035782,1,11929,RESISTING ARREST,90C,DISORDERLY CONDUCT,2020-05-24,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,23,NO,11,1,2020,2,5,Allston,D14
93817,20200011114,202035782,2,21425,LARCENY OVER $250,23H,ALL OTHER LARCENY,2020-05-24,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,23,NO,11,1,2020,2,5,Allston,D14
93820,20200011114,202035782,3,21811,OTHER,Unknown,OTHER,2020-05-24,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,23,NO,11,1,2020,2,5,Allston,D14
93822,20200011114,202035782,4,21814,FRAUDULENT USE OF A CREDIT CARD,26A,FALSE PRETENSE/SWINDLE/CONFIDENCE GAMES,2020-05-24,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,23,NO,11,1,2020,2,5,Allston,D14
93825,20200011114,202035782,5,22113,"BUYING, RECEIVING OR CONCEALING STOLEN GOODS",280,STOLEN PROPERTY OFFENSES,2020-05-24,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,23,NO,11,1,2020,2,5,Allston,D14
93828,20200011203,192084966,1,11914,ASSAULT AND BATTERY BY MEANS OF A DANGEROUS WEAPON,13A,AGGRAVATED ASSAULT,2020-02-04,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,57,NO,9,3,2020,1,2,Mattapan,B3
93831,20200011211,202011184,1,12314,ASSAULT & BATTERY (209A),13A,AGGRAVATED ASSAULT,2020-02-10,FEMALE,WHITE,NOT HISPANIC OR LATINX,41,NO,17,2,2020,1,2,Dorchester,C11
93834,20200011302,202006796,1,12611,OTHER,Unknown,OTHER,2020-01-30,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,24,NO,9,5,2020,1,1,Dorchester,B2
93843,20200011302,202006796,2,22113,"BUYING, RECEIVING OR CONCEALING STOLEN GOODS",280,STOLEN PROPERTY OFFENSES,2020-01-30,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,24,NO,9,5,2020,1,1,Dorchester,B2
93846,20200011307,202033459,1,12314,ASSAULT & BATTERY (209A),13A,AGGRAVATED ASSAULT,2020-05-14,MALE,WHITE,NOT HISPANIC OR LATINX,55,NO,15,5,2020,2,5,East Boston,A7
93871,20200008903,202007343,3,12619,FAILURE TO ATTEND JURY DUTY,90Z,ALL OTHER OFFENSES,2020-01-28,FEMALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,30,NO,0,3,2020,1,1,Dorchester,B3
93874,20200009018,202025825,1,11812,UNARMED ROBBERY,Unknown,OTHER,2020-04-08,MALE,WHITE,HISPANIC OR LATINX,34,NO,17,4,2020,2,4,Hyde Park,E18
93877,20200009052,2020-937,1,31112,OPERATING UNDER THE INFLUENCE OF ALCOHOL,90D,DRIVING UNDER THE INFLUENCE,2020-01-31,FEMALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,30,NO,3,6,2020,1,1,Unknown,MBTA
93880,20200009203,202007446,1,41117,"TRAFFICKING; CLASS A, DRUGS 28-99 GRAMS",35A,DRUG/NARCOTIC VIOLATIONS,2020-01-28,FEMALE,WHITE,HISPANIC OR LATINX,23,NO,13,3,2020,1,1,Dorchester,B3
