objectid,arrest_num,inc_num,charge_seq_num,charge_code,charge_desc,nibrs_code,nibrs_desc,arr_date,gender_desc,race_desc,ethnicity_desc,age,juvenile,hour_of_day,day_of_week,year,quarter,month,neighborhood,district
101098,20200033604,202019976,4,12414,DISTURBING THE PEACE,90C,DISORDERLY CONDUCT,2020-03-13,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,30,NO,20,5,2020,1,3,South Boston,C6
101099,20200033611,202003810,1,11918,ASSAULT BY MEANS OF A DANGEROUS WEAPON,13A,AGGRAVATED ASSAULT,2020-05-29,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,16,YES,14,6,2020,2,5,Dorchester,C11
101100,20200030410,202017263,1,12212,DANGEROUS WEAPONS UNLAWFULLY CARRIED,520,WEAPON LAW VIOLATIONS,2020-03-03,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,28,NO,13,3,2020,1,3,Beacon Hill,A1
101101,20200037504,202028007,3,12421,"DISORDERLY CONDUCT, OTHER",Unknown,OTHER,2020-04-19,MALE,WHITE,NOT HISPANIC OR LATINX,28,NO,14,1,2020,2,4,South End,D4
101102,20200033652,2020-7410,1,12114,ASSAULT AND BATTERY ON A POLICE OFFICER (NO INJURIES),13A,AGGRAVATED ASSAULT,2020-11-25,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,35,NO,15,4,2020,4,11,Unknown,MBTA
101103,20200030802,202027536,1,12214,UNLAWFUL POSSESSION OF FIREARM,520,WEAPON LAW VIOLATIONS,2020-04-17,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,23,NO,23,5,2020,2,4,Roxbury,B2
101104,20200037610,202028547,1,11824,ARMED ROBBERY (VARIETY STORE),120,ROBBERY,2020-04-22,MALE,WHITE,NOT HISPANIC OR LATINX,35,NO,22,3,2020,2,4,Charlestown,A15
101105,20200033652,2020-7410,2,12416,"PERSON, DISORDERLY",90C,DISORDERLY CONDUCT,2020-11-25,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,35,NO,15,4,2020,4,11,Unknown,MBTA
101106,20200030804,202018452,1,41221,"DISTRIBUTION OF CLASS B, DRUGS",35A,DRUG/NARCOTIC VIOLATIONS,2020-03-07,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,29,NO,13,7,2020,1,3,South End,D4
101107,20200037710,202028547,1,11824,ARMED ROBBERY (VARIETY STORE),120,ROBBERY,2020-04-22,MALE,WHITE,NOT HISPANIC OR LATINX,35,NO,23,3,2020,2,4,Charlestown,A15
101108,20200033652,2020-7410,3,21129,TRESPASSING,90J,TRESSPASSING,2020-11-25,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,35,NO,15,4,2020,4,11,Unknown,MBTA
101109,20200055710,202049390,2,21427,LARCENY UNDER $50,23H,ALL OTHER LARCENY,2020-07-13,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,29,NO,13,2,2020,3,7,Downtown,A1
101110,20200037710,202028547,2,11914,ASSAULT AND BATTERY BY MEANS OF A DANGEROUS WEAPON,13A,AGGRAVATED ASSAULT,2020-04-22,MALE,WHITE,NOT HISPANIC OR LATINX,35,NO,23,3,2020,2,4,Charlestown,A15
101111,20200033811,202037120,1,12623,PROBATION / PAROLE VIOLATION,90Z,ALL OTHER OFFENSES,2020-05-29,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,20,NO,14,6,2020,2,5,Dorchester,C11
101112,20200055803,202066493,1,12314,ASSAULT & BATTERY (209A),13A,AGGRAVATED ASSAULT,2020-09-12,MALE,WHITE,HISPANIC OR LATINX,31,NO,4,7,2020,3,9,Dorchester,B3
101113,20200037902,202035585,1,31214,OPERATING M/V WITHOUT A LICENSE,NR,MOTOR VEHICLE VIOLATIONS,2020-05-22,FEMALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,22,NO,17,6,2020,2,5,Roxbury,B2
101114,20200033902,202022733,1,11814,ARMED ROBBERY,120,ROBBERY,2020-05-06,MALE,BLACK OR AFRICAN AMERICAN,HISPANIC OR LATINX,30,NO,2,4,2020,2,5,Dorchester,B2
